edgeid,A,B,NUM_LANES,TWOWAY,TIME,DIST_MLE,Ax,Ay,Bx,By,Speed_limit,count
0,1,12075,1,1,1,0.28,947606.0,961027.0,947620.0,959558.0,12.0,1
1,2,12059,1,1,2,0.46,942594.0,962496.0,940333.0,961622.0,12.0,1
2,2,19242,1,1,3,0.67,942594.0,962496.0,944350.0,959429.0,12.0,1
3,3,12151,1,1,1,0.34,945244.0,956417.0,946378.0,954992.0,12.0,1
4,4,12143,1,1,1,0.34,951353.0,953507.0,950882.0,955225.0,12.0,1
5,4,12215,1,1,2,0.46,951353.0,953507.0,953215.0,951934.0,12.0,1
6,5,12087,1,1,2,0.5,950279.0,956969.0,950817.0,959538.0,12.0,1
7,5,12143,1,1,1,0.35,950279.0,956969.0,950882.0,955225.0,12.0,1
8,6,12091,1,1,1,0.22,953090.0,958589.0,952413.0,959534.0,12.0,1
9,6,12107,1,1,0,0.14,953090.0,958589.0,953788.0,958393.0,12.0,1
10,6,18229,1,1,0,0.18,953090.0,958589.0,953080.0,957625.0,12.0,1
11,7,12119,1,1,0,0.16,953513.0,956355.0,954330.0,956584.0,12.0,1
12,7,12127,1,1,0,0.18,953513.0,956355.0,953740.0,955441.0,12.0,1
13,7,13804,1,1,0,0.25078,953513.0,956355.0,952712.6875,956218.625,12.0,1
14,8,12107,1,1,0,0.13,954459.0,958273.0,953788.0,958393.0,12.0,1
15,9,12163,1,1,0,0.17,955159.0,954998.0,954274.0,954942.0,12.0,1
16,10,12135,1,1,0,0.13,956871.0,954602.0,956551.0,955197.0,12.0,1
17,11,12183,1,1,1,0.32,957353.0,951428.0,956900.0,953054.0,12.0,1
18,12,12191,1,1,0,0.15,955176.0,952131.0,955121.0,952938.0,12.0,1
19,13,12127,1,1,0,0.12,953701.0,954820.0,953740.0,955441.0,12.0,1
20,13,12163,1,1,0,0.11,953701.0,954820.0,954274.0,954942.0,12.0,1
21,13,12167,1,1,0,0.11,953701.0,954820.0,953539.0,954260.0,12.0,1
22,14,12211,1,1,0,0.09,953786.0,951741.0,953742.0,952214.0,12.0,1
23,15,19184,1,1,1,0.26,935682.0,950316.0,935661.0,948967.0,12.0,1
24,16,17733,1,1,1,0.31,936611.0,958592.0,938183.0,958999.0,12.0,1
25,17,12217,1,1,1,0.24,940185.0,950312.0,940290.0,951587.0,12.0,1
26,18,12283,1,1,0,0.2,945970.0,949780.0,945313.0,948935.0,12.0,1
27,19,12271,1,1,1,0.21,949892.0,950053.0,949867.0,948944.0,12.0,1
28,20,12271,1,1,1,0.25,950408.0,947737.0,949867.0,948944.0,12.0,1
29,20,12387,1,1,1,0.28,950408.0,947737.0,950154.0,946266.0,12.0,1
30,20,12720,1,1,0,0.1741,950408.0,947737.0,949499.1875,947600.0,12.0,1
31,21,12279,1,1,1,0.24,947152.0,947706.0,946886.0,948936.0,12.0,1
32,21,12439,1,1,1,0.3,947152.0,947706.0,946810.0,946186.0,12.0,1
33,22,12303,1,1,1,0.35,943737.0,947596.0,941913.0,947692.0,12.0,1
34,22,12435,1,1,1,0.26,943737.0,947596.0,943517.0,946217.0,12.0,1
35,23,12539,1,1,1,0.38,937011.0,939065.0,939024.0,939091.0,12.0,1
36,24,12632,1,1,1,0.22668,941482.8125,940644.25,941596.1875,939453.25,12.0,1
37,25,12646,1,1,0,0.18403,941261.375,934195.25,941551.9375,933268.0,12.0,1
38,26,12547,1,1,2,0.53,938245.0,936370.0,940456.0,938115.0,12.0,1
39,27,13611,1,1,1,0.28,944297.0,929136.0,945730.0,929397.0,12.0,1
40,27,18999,1,1,1,0.28,944297.0,929136.0,944370.0,927651.0,12.0,1
41,28,12675,1,1,2,0.45,943456.0,925269.0,943396.0,927653.0,12.0,1
42,29,12803,1,1,1,0.27,941650.0,922571.0,941746.0,921124.0,12.0,1
43,30,12891,1,1,1,0.34,941142.0,915925.0,942915.0,915594.0,12.0,1
44,31,13031,1,1,0,0.07,948342.0,911832.0,947974.0,911958.0,12.0,1
45,31,13087,1,1,0,0.07,948342.0,911832.0,948362.0,911464.0,12.0,1
46,32,12859,1,1,1,0.28,949509.0,915723.0,948058.0,915867.0,12.0,1
47,33,12859,1,1,0,0.15,947309.0,916149.0,948058.0,915867.0,12.0,1
48,34,18995,1,1,0,0.09,946161.0,926980.0,946655.0,926984.0,12.0,1
49,35,12622,1,1,1,0.39708,950338.86219,923940.20789,948268.625,923612.8125,12.0,1
50,35,12853,1,1,2,0.5904,950338.86219,923940.20789,949771.0,920867.0,12.0,1
51,35,18989,1,1,3,0.7137,950338.86219,923940.20789,949667.0,927647.0,12.0,1
52,36,18989,1,1,0,0.17,949885.0,928526.0,949667.0,927647.0,12.0,1
53,37,13613,1,1,0,0.16,947411.0,928342.0,946653.0,928716.0,12.0,1
54,37,18993,1,1,1,0.22,947411.0,928342.0,948398.0,928913.0,12.0,1
55,38,12628,1,1,1,0.2311,947066.0,933964.0,945889.1875,934285.375,12.0,1
